  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.81933075            0.00000000        2276.04512223       -21170.81630336       -18894.77118114 
  5.0000e-15           99.41892172            0.00000000        2266.91513681       -21152.55399188       -18885.63885507 
  1.0000e-14           98.75402310            0.00000000        2251.75435347       -21122.22805330       -18870.47369983 
  1.5000e-14           97.82735872            0.00000000        2230.62487956       -21079.96209896       -18849.33721940 
  2.0000e-14           96.64301876            0.00000000        2203.61997800       -21025.94181558       -18822.32183758 
  2.5000e-14           95.20672169            0.00000000        2170.87003949       -20960.42691739       -18789.55687790 
  3.0000e-14           93.52614550            0.00000000        2132.55013482       -20883.76626797       -18751.21613316 
  3.5000e-14           91.61132122            0.00000000        2088.88898801       -20796.41585988       -18707.52687187 
  4.0000e-14           89.47507642            0.00000000        2040.17908863       -20698.95909597       -18658.78000734 
  4.5000e-14           87.13350848            0.00000000        1986.78748364       -20592.12846224       -18605.34097860 
  5.0000e-14           84.60645716            0.00000000        1929.16655200       -20476.82720658       -18547.66065458 
  5.5000e-14           81.91793308            0.00000000        1867.86377555       -20354.14905492       -18486.28527937 
  6.0000e-14           79.09644512            0.00000000        1803.52920363       -20225.39335735       -18421.86415372 
  6.5000e-14           76.17515704            0.00000000        1736.91902462       -20092.07247500       -18355.15345039 
  7.0000e-14           73.19179662            0.00000000        1668.89349410       -19955.90787570       -18287.01438160 
  7.5000e-14           70.18824380            0.00000000        1600.40754364       -19818.81153766       -18218.40399402 
  8.0000e-14           67.20974290            0.00000000        1532.49281816       -19682.85009918       -18150.35728102 
  8.5000e-14           64.30372057            0.00000000        1466.23072339       -19550.19086476       -18083.96014137 
  9.0000e-14           61.51824331            0.00000000        1402.71725492       -19423.03118510       -18020.31393018 
  9.5000e-14           58.90020768            0.00000000        1343.02173112       -19303.51547465       -17960.49374353 
  1.0000e-13           56.49340868            0.00000000        1288.14275052       -19193.64657513       -17905.50382461 
  1.0500e-13           54.33666347            0.00000000        1238.96540789       -19095.19963296       -17856.23422507 
  1.1000e-13           52.46216762            0.00000000        1196.22381576       -19009.64668453       -17813.42286877 
  1.1500e-13           50.89423105            0.00000000        1160.47227973       -18938.09871746       -17777.62643773 
  1.2000e-13           49.64848726            0.00000000        1132.06726990       -18881.26951764       -17749.20224773 
  1.2500e-13           48.73160887            0.00000000        1111.16093279       -18839.46277261       -17728.30183982 
  1.3000e-13           48.14150554            0.00000000        1097.70560498       -18812.58130818       -17714.87570320 
  1.3500e-13           47.86793841            0.00000000        1091.46782394       -18800.15539414       -17708.68757020 
  1.4000e-13           47.89345989            0.00000000        1092.04975583       -18801.38590870       -17709.33615288 
  1.4500e-13           48.19457817            0.00000000        1098.91574836       -18815.19774032       -17716.28199196 
  1.5000e-13           48.74304907            0.00000000        1111.42178805       -18840.29896041       -17728.87717236 
  1.5500e-13           49.50720921            0.00000000        1128.84589775       -18875.24182709       -17746.39592934 
  1.6000e-13           50.45327989            0.00000000        1150.41786725       -18918.48240183       -17768.06453458 
  1.6500e-13           51.54658815            0.00000000        1175.34709597       -18968.43634029       -17793.08924432 
  1.7000e-13           52.75266769            0.00000000        1202.84769557       -19023.52916022       -17820.68146465 
  1.7500e-13           54.03821634            0.00000000        1232.16032198       -19082.23993402       -17850.07961204 
  1.8000e-13           55.37189824            0.00000000        1262.57046551       -19143.13787250       -17880.56740699 
  1.8500e-13           56.72498719            0.00000000        1293.42312179       -19204.91165380       -17911.48853201 
  1.9000e-13           58.07185387            0.00000000        1324.13390022       -19266.39161740       -17942.25771717 
  1.9500e-13           59.39030303            0.00000000        1354.19671211       -19326.56511185       -17972.36839973 
  2.0000e-13           60.66176918            0.00000000        1383.18823424       -19384.58538978       -18001.39715554 
  2.0500e-13           61.87138137            0.00000000        1410.76938416       -19439.77452169       -18029.00513754 
  2.1000e-13           63.00790907            0.00000000        1436.68408740       -19491.62088679       -18054.93679939 
  2.1500e-13           64.06360417            0.00000000        1460.75567412       -19539.77191391       -18079.01623978 
  2.2000e-13           65.03395679            0.00000000        1482.88131169       -19584.02288560       -18101.14157391 
  2.2500e-13           65.91738562            0.00000000        1503.02494401       -19624.30275079       -18121.27780678 
  2.3000e-13           66.71488505            0.00000000        1521.20924417       -19660.65796604       -18139.44872187 
  2.3500e-13           67.42965037            0.00000000        1537.50707064       -19693.23535470       -18155.72828406 
  2.4000e-13           68.06669959            0.00000000        1552.03284198       -19722.26481975       -18170.23197778 
  2.4500e-13           68.63250441            0.00000000        1564.93412355       -19748.04249960       -18183.10837604 
  2.5000e-13           69.13463764            0.00000000        1576.38358804       -19770.91468572       -18194.53109768 
  2.5500e-13           69.58143942            0.00000000        1586.57140447       -19791.26260462       -18204.69120014 
  2.6000e-13           69.98170233            0.00000000        1595.69805789       -19809.48805953       -18213.79000163 
  2.6500e-13           70.34437556            0.00000000        1603.96760494       -19825.99993705       -18222.03233211 
  2.7000e-13           70.67829050            0.00000000        1611.58141531       -19841.20167676       -18229.62026145 
  2.7500e-13           70.99191220            0.00000000        1618.73250658       -19855.47992071       -18236.74741412 
  2.8000e-13           71.29312370            0.00000000        1625.60062478       -19869.19465202       -18243.59402724 
  2.8500e-13           71.58905028            0.00000000        1632.34823814       -19882.67116232       -18250.32292418 
  2.9000e-13           71.88593030            0.00000000        1639.11759146       -19896.19414712       -18257.07655565 
  2.9500e-13           72.18903676            0.00000000        1646.02891792       -19910.00412562       -18263.97520770 
